source,category,concept,label,docs_total,docs_recent,docs_prior,share_recent_pct,share_prior_pct,growth_ratio,delta_pp,slope_pp_per_year,first_year_ge3,peak_year,recent_years,prior_years
all,Materials & power devices,Ga2O3,Ga2O3 / ultra-wide bandgap,10440,4060,2839,1.4874322961850301,1.1184179970734283,1.3298269211193854,0.3690142991116019,0.11785647045268409,2014.0,2025,2023-2025,2020-2022
all,Advanced packaging,CPO,Silicon photonics / co-packaged optics,12487,4299,3098,1.5750882201222791,1.2206120134949914,1.2903148861219393,0.35447620662728774,0.07963439134898398,2014.0,2025,2023-2025,2020-2022
all,Interconnect & BEOL,RuMo,Ru / Mo interconnect (post-Cu),129,57,41,0.020882670168114955,0.016151862585421117,1.285921780382396,0.004730807582693838,0.002260978635270346,2018.0,2024,2023-2025,2020-2022
all,Transistor architecture,GAA,GAA / nanosheet,3793,1463,1082,0.5359592253041883,0.42614522718359965,1.2574534873785517,0.10981399812058862,0.03862255876440981,2014.0,2024,2023-2025,2020-2022
all,Advanced packaging,FanOut,Fan-out packaging (FOWLP / InFO / FOPLP),2871,1004,748,0.36787204858258926,0.29482270540676725,1.2474431654363627,0.07304934317582201,0.01968379260391657,2014.0,2025,2023-2025,2020-2022
all,Materials & power devices,OxideSemi,Oxide semiconductor (IGZO),5345,1664,1243,0.6096274238551453,0.48967719984581587,1.2447608363987825,0.11995022400932948,0.009830681156282108,2014.0,2025,2023-2025,2020-2022
all,Materials & power devices,SiC,SiC power,18753,5606,4245,2.053682384112021,1.6721550597244956,1.2281112975796855,0.38152732438752546,0.008756579897064822,2014.0,2016,2023-2025,2020-2022
all,Memory,RRAM,RRAM / memristor,22575,7824,5964,2.8662637166168268,2.349335686793654,1.2199946845789436,0.5169280298231729,0.14914809710407734,2014.0,2024,2023-2025,2020-2022
all,Memory,DRAM,DRAM (incl. 3D / vertical channel),7891,2569,1971,0.9411856081032863,0.776471247704025,1.212024378667127,0.16471436039926135,0.040134357980253194,2014.0,2025,2023-2025,2020-2022
all,Transistor architecture,FeFET,Ferroelectric / negative-capacitance FET,5051,2033,1571,0.7448152359961001,0.6188921005291848,1.2033359798639711,0.12592313546691536,0.07288673777036232,2014.0,2024,2023-2025,2020-2022
all,Memory,3DNAND,3D NAND,3431,974,775,0.35683720603059593,0.3053095976512528,1.1685541732655782,0.051527608379343115,-0.006862425412185585,2014.0,2014,2023-2025,2020-2022
all,Materials & power devices,GaN,GaN power / RF,34523,10510,8546,3.850584861309479,3.3667651479214062,1.1436878091068203,0.4838197133880726,0.04230057308484614,2014.0,2024,2023-2025,2020-2022
all,Materials & power devices,CNT,Carbon nanotube transistor,2147,638,529,0.23373936082907618,0.20839842213872614,1.1213690839830082,0.025340938690350034,0.0010073875140989032,2014.0,2014,2023-2025,2020-2022
all,Transistor architecture,2D-channel,2D-material channel (MoS2 / TMD),6792,2213,1925,0.8109400279021187,0.7584166169164677,1.0692180808006728,0.05252341098565105,0.04731984789911504,2014.0,2025,2023-2025,2020-2022
all,Transistor architecture,Node,"Advanced node (7/5/3/2 nm, A16/A14)",2453,880,774,0.3225383361860534,0.3049786814421857,1.0575023858016916,0.01755965474386767,0.029526759397265623,2014.0,2020,2023-2025,2020-2022
all,Lithography & patterning,Resist,Photoresist (CAR / metal-oxide / stochastics),6491,1801,1594,0.659819104785527,0.6281065411602336,1.0504575003184635,0.0317125636252934,-0.002359334110393257,2014.0,2017,2023-2025,2020-2022
