source,concept,synonym,year,docs
all,3DIC,interposer,2016,139
all,3DIC,3D integration,2016,84
all,3DIC,2.5D,2016,70
all,3DIC,silicon interposer,2016,47
all,3DIC,3D IC,2016,43
all,3DIC,heterogeneous integration,2016,35
all,3DIC,monolithic 3D,2016,28
all,3DIC,3D integrated circuit,2016,18
all,3DIC,3D stacking,2016,10
all,3DIC,die stacking,2016,6
all,3DIC,2.5-D,2016,6
all,3DIC,three dimensional integration,2016,4
all,3DIC,wafer stacking,2016,3
all,3DIC,M3D,2016,1
all,3DIC,through silicon via,2017,152
all,3DIC,TSV,2017,101
all,3DIC,interposer,2017,99
all,3DIC,3D integration,2017,64
all,3DIC,2.5D,2017,39
all,3DIC,heterogeneous integration,2017,35
all,3DIC,3D IC,2017,35
all,3DIC,monolithic 3D,2017,24
all,3DIC,3D integrated circuit,2017,23
all,3DIC,silicon interposer,2017,20
all,3DIC,3D heterogeneous integration,2017,7
all,3DIC,3D stacking,2017,6
all,3DIC,2.5-D,2017,5
all,3DIC,three dimensional integration,2017,5
all,3DIC,die stacking,2017,2
all,3DIC,sequential 3D,2017,1
all,3DIC,M3D,2017,1
all,3DIC,wafer stacking,2017,1
all,3DIC,through silicon via,2018,222
all,3DIC,TSV,2018,210
all,3DIC,interposer,2018,144
all,3DIC,3D integration,2018,108
all,3DIC,heterogeneous integration,2018,90
all,3DIC,3D IC,2018,73
all,3DIC,2.5D,2018,69
all,3DIC,silicon interposer,2018,42
all,3DIC,monolithic 3D,2018,30
all,3DIC,3D integrated circuit,2018,22
all,3DIC,3D stacking,2018,14
all,3DIC,M3D,2018,14
all,3DIC,three dimensional integration,2018,13
all,3DIC,2.5-D,2018,10
all,3DIC,die stacking,2018,5
all,3DIC,wafer stacking,2018,3
all,3DIC,sequential 3D,2018,2
all,3DIC,TSV,2019,308
all,3DIC,through silicon via,2019,299
all,3DIC,interposer,2019,180
all,3DIC,heterogeneous integration,2019,172
all,3DIC,3D integration,2019,165
all,3DIC,3D IC,2019,126
all,3DIC,2.5D,2019,116
